"MasterRecordID","RecordID","DirectoryNumber","PubDate","DisplayName","BusinessName","CorporateName","StreetNum","PreDir","StreetName","StreetSuffix","PostDir","UnitDesig","SecNumber","CityName","StateCode","ZIP","ZIP4","Phone","PhoneCode","MailSuppression","NoSolicitation","PhoneSuppression","MSA","WebAddress","AdultContentFlag","SecondaryPhoneNumber","SecondaryPhoneNumberCode","EmailAddress","AdType","AdSize","CreditCardsAccepted","FreeCode","HoursofOperation","Language","DiscountCode","DeliveryCode","YearStarted","YearsInBus","Directions","Slogans","Products","ProductsSynonyms","Brands","BrandsSynonyms","Trademark","Services","ServicesSynonyms","Models","ModelsSynonyms","Specialties","SpecialtiesSynonyms","ProgramsOffered","ProgramsOfferedSynonyms","ProductFeatures","ProductFeaturesSynonyms","ServiceFeatures","ServiceFeaturesSynonyms","LocationFeatures","LocationFeaturesSynonyms","GroupsServed","GroupsServedSynonyms","IndustryType","IndustryTypeSynonyms","SpecialConsiderations","SpecialConsiderationsSynonyms","SpecialHours","SpecialHoursSynonyms","OrderingMethods","OrderingMethodsSynonyms","ProfessionalsOnStaff","ProfessionalsOnStaffSynonyms","PaymentMode","PaymentModeSynonyms","Associations","AssociationsSynonyms","Certifications","CertificationsSynonyms","GeneralContent","GeneralContentSynonyms","BusinessLink","PrimaryBusinessClassificationFlag","SYPH1","SYPH2","SYPH3","SYPH4","SYPH5","SYPH6","SIC1","SIC2","SIC3","SIC4","SIC5","SIC6","NAICS1","NAICS2","NAICS3","NAICS4","NAICS5","NAICS6","BDC1","BDC2","BDC3","BDC4","BDC5","BDC6","Fax","AgeOfRecord","AddressPrivacyFlag","ServiceArea","ChainID","CBSA","ActualSalesAmount","MailingAddress","MailingCity","MailingState","MailingZipCode","LandmarkAddress","LandmarkCity","LandmarkState","LandmarkZipCode","FranchiseChain","TollFree","Financing","GoogleCheckout","Invoice","LongLocalWebaddress","MenuLink","CouponLink","TwitterLink","LinkedInLink","FacebookLink","AlternateSocialLink","YouTubeVideoLink","LogoLink","Pinterest","Keywords","BusinessMobileNumber","CallTrackingNumber","ParkingOptions","ValidationOptions","ProfessionalAssociations","ATM","AlternativeBusinessName","AnchorHostBusiness","UnofficialLandmark","PriceRange","Reservations","BanquetMeetingRooms","RestaurantBarTypes","DressCode","ShuttleService","FreeInternet","InternetAccess","FoodCourt","ParkPermitRequired","EquipmentRentals","LodgingCampgrounds","LiveEntertainment","SmokingPreference","ZagatRating","GiftShop","PresenceofECommerce","GreenCompanyIndicator","SeasonalHours","CreditRating","Fortune_500_Flag","BusinessHours","Contact_First_Name","Contact_Last_Name","Contact_Title","Contact_Gender","VerificationFlag","DPBC","CRRT","EmployeeSizeRange","Ethnicity","Number_of_PCs","SalesVolume","SquareFootage"
"MA04891001","0000395408","701609","201509","","AMAZON TECHNOLOGIES CO INC","","500","W","CUMMINGS","PARK","","","","WOBURN","MA","01801","6503","7819385500","PU","","","","","EPIC-TECH.COM","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510073716386","I","059790","","","","","","57340100","73780301","","","","","4431200500","8112120701","","","","","11220405","25040200","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","998","C036","","","","",""
"MA05083488","0000395412","701609","201509","","ANCHOR AUTO BODY","","3","","BREED","AVE","","STE","1","WOBURN","MA","01801","1334","7819350041","P","","","","","ANCHORAUTO.COM|ANCHORBODY.COM","","7819352312","P","","3","","","","","","","","1981","034","","","","","","","","GLASS REPLACEMENT","","","","","","","","","","GUARANTEES","","","","","","","","","","","","","","","","","","","","","","026580ATTR:TOWING|GLASS REPAIR","","2510016335945","S","026580","105890","","","","","75320401","52310104","","","","","8111210401","4441903802","","","","","21020100","25410400","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","PETER","SPINAZOLA","MANAGER","M","V","018","C020","A","","","C",""
"MA04118254","0000395417","701632","201509","","ANDERSON OIL","","6","","WALNUT HILL","PARK","","","","WOBURN","MA","01801","3720","7819332530","P","","","Y","","ANDERSONOILSERVICE.COM","","","","","3","","","","","","","","","","","","FUELS","","","","","AUTOMATIC FUEL DELIVERY|COMMERCIAL SERVICES|HEATING SYSTEMS|RESIDENTIAL SERVICES","AUTOMATIC REFILL|BUSINESS SERVICES|HEATERS|HEATING EQUIPMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","099010ATTR:HEATING OIL|OIL DELIVERY","","2510016340777","I","099010","","","","","","59830000","","","","","","4543110000","","","","","","25540000","","","","","","","19960100","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOP;M-SA;07:00-16:00","JOHN","ANDERSON","OWNER","M","V","062","C015","","","","E",""
"MA05025713","0000395432","701632","201509","","GEORGE P ANASTOS CPA","","8","","CEDAR","ST","","STE","64","WOBURN","MA","01801","6362","7819333730","P","","","Y","","JDMAXONCPA.COM","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510091356312","I","010310","","","","","","87210505","","","","","","5412110302","","","","","","15015200","","","","","","","19970300","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GEORGE","ANASTOS","","M","V","643","C058","","","","B",""
"MA04639105","0000395469","533891","201509","","AIR CONTROL PRODUCTS CO INC","","7","","LAFAYETTE","PL","","","","WOBURN","MA","01801","6600","7819333442","P","","","Y","","ACPCOILS.COM","","","","INFO@ACPCOILS.COM","3","","AMV","","","","","","1994","021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016337839","I","057040","","","","","","50740504","","","","","","4237200503","","","","","","19133505","","","","","","","19960400","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","071","C027","","","","D",""
"MA04367582","0000395481","565680","201509","","AERO BRAZING CORP","","223","","NEW BOSTON","ST","","","","WOBURN","MA","01801","6214","7819337511","PU","","","Y","","aerobrazing.com|AEROBRAZING.COM","","","","","2","","","","","","","","1974","041","","","COMBINES|INDUSTRIAL EQUIPMENT","","HELIARC","","","PRECISION ALUMINUM DIP BRAZING|COMPLETE BRAZING  HELIARC","","","","INDUSTRIAL EQUIPMENT","INDUSTRIAL EQUIPMENT","","","ALUMINUM CONSTRUCTION","","","","","","","","MANUFACTURER","","","","","","","","MECHANICS","","","","","","","","COMPLETE BRAZING","","2510016339269","I","039770","218130","","","","","76929901","76990561","","","","","8113100404","8113101242","","","","","19111206","11220700","","","","","","19960100","","","","14460","933000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","NICHOLAS","ZAJKA","TREASURER","M","V","232","C038","B","","A","B","C"
"MR01414135","0000395482","701632","201509","","ARBOUR COUNSELING SERVICES","","500","W","CUMMINGS","PARK","","STE","3900","WOBURN","MA","01801","6500","7819320970","PU","","","","","","","78193281147819328424","PU","","3","","","","","","","","","","","","","","","","","OUTPATIENT","","","","MENTAL HEALTH","","","","","","OUTPATIENT","","","","ADULTS","","","","","","","","","","","","","","","","","","","","2510088574903","S","067710","067610","147111","702430","","","83220406","80490300","","","","","6241900305","6211120000","6213990000","","","","12050900","18031700","18030700","","","","","19971013","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PATRICIA","KELLY","MANAGER","F","V","757","C036","","","","",""
"MA04865114","0000395503","533891","201509","","ARISTON ENGRAVING & MACHINE CO","","56","","DRAGON","CT","","","","WOBURN","MA","01801","1014","7819352328","P","","","","","ARISTONENGRAVING.COM","","7819354136","P","","3","","","","","","","","1964","051","","","PLAQUES|SIGNS & BANNERS","SIGNAGE","","","","ENGRAVING|IN-HOUSE SERVICES|INDUSTRIAL SERVICES|SILK SCREENING","","","","","","","","","","LASER","","","","","","","","","","","","","","","","","","","","","","085260ATTR:ENGRAVING|ENGRAVERS","","2510016337009","I","155660","","","","","","50990000","","","","","","4239900000","","","","","","25500107","","","","","","","19960100","","","","14460","774000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","RICHARD","CALLAHAN","","M","V","563","C017","B","","","B",""
"MA05022792","0000395517","701632","201509","","ASSOCIATED MECHANICAL SERVICES","","2","","CEDAR","ST","","","","WOBURN","MA","01801","7248","7819378100","P","","","Y","","ASSOCIATED-MECHANICAL.COM","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510190805750","I","268587","013080","","","","","17110800","76230100","","","","","2382200700","8114120100","","","","","13019602","25170500","","","","","","19970300","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","THOMAS","RIELLY","PRESIDENT","M","V","991","C058","","","","D",""
"MA04069473","0000395538","533891","201509","","ATLANTIC COMPONENTS","","195","","WILDWOOD","AVE","","","","WOBURN","MA","01801","2024","7819339966","P","","","Y","","ATCOMHQ.COM","","","","PBRAMANTI@ATCOMHQ.COM","3","","AMV","","","","","","1985","030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510052177685","I","079470","","","","","","50630457","","","","","","4236100453","","","","","","25050903","","","","","","","19990127","","","","14460","7000000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","DARLENE","LANDERS","CFO","F","V","958","C014","A","","","E",""
"MA05174664","0000395540","701609","201509","","ATLANTIC COAST CONSTRUCTION","","142","","BEDFORD","RD","","","","WOBURN","MA","01801","3906","7819320080","P","","","","","","","","","","3","","","","","","","","1995","020","","","VINYL REPLACEMENT WINDOWS","","","","","","","","","","","","","","","","","","","","","DISTRIBUTOR","","","","","","","","","","","","","","","","254940ATTR:DOORS|WINDOWS INSTALLATIONS & SALES","","2510016335873","S","041230","254940","041650","","","","15210500","17510203","52110550","","","","2361150500","2381300101","4441902732","","","","13010000","25262000","13027200","25400000","","","","19970300","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WARREN","HEIMLICH","OWNER","M","V","426","C024","","","","B",""
"MA04771078","0000395543","533891","201509","","ATLAS PAPER CO","","220","","GARFIELD","AVE","","","","WOBURN","MA","01801","5797","7817298750","P","","","Y","","ATLASPAPER.COM","","","","SALES@ATLASPAPER.COM","3","","AMV","","","","","","1921","094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165340ATTR:BOXES|COLORED|TOWELS","","2510124317505","I","165330","","","","","","51110000","","","","","","4241100000","","","","","","11203602","","","","","","","19970400","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DAVID","WASSERMAN","VP","M","V","200","C013","","","","F",""
"MA04155160","0000395602","533891","201509","","BEEKEEPERS WAREHOUSE","","1","","SULLIVAN","ST","","","","WOBURN","MA","01801","4430","7819356090","P","","","Y","","BEEKEEPERSWAREHOUSE.COM","","","","NANCY@BEEKEEPERSWAREHOUSE.COM","3","","HJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016340324","I","032400","","","","","","02790100","","","","","","1129100101","","","","","","13031002","","","","","","","19960100","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOP;TH;16:00-20:00","","","","","V","018","C016","","","","",""
"MA04668479","0000395625","533891","201509","","BLACK A J INC","","25","","HOUGHTON","ST","","","","WOBURN","MA","01801","3515","7819351144","P","","","Y","","","","","","","3","","","","","","","","1999","016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016336993","I","268587","","","","","","17110800","","","","","","2382200700","","","","","","13019602","","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MICHAEL","BLACK","PRESIDENT","M","V","259","C006","","","","B",""
"MA04752368","0000395644","701609","201509","","BLESSED OF THE LORD","","3","","GREEN","ST","","","","WOBURN","MA","01801","4320","7819373595","PL","","","","","BLESSEDOFTHELORD.ORG","","","","","3","","","","","","","","1994","021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","053000ATTR:BIBLE STUDY|258072ATTR:BIBLE STUDY|270189ATTR:BIBLE STUDY","","2510016337411","I","270189","258081","053000","","","","86619988","86619945","","","","","8131102485","8131102443","","","","","12030347","12030128","","","","","7819373595","19960400","","","","14460","2642000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I","N","","BETTY","JACOVIDES","RELIGIOUS LEADER","F","V","038","C055","D","","B","D","B"
"MA05196857","0000395652","701632","201509","","FRANCIS P BUMANN CPA","","3","","BALDWIN GREEN","CMN","","","","WOBURN","MA","01801","1865","7819324663","P","","","Y","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510052173903","I","010310","010280","","","","","87210505","87210500","","","","","5412110302","5412110300","","","","","15015200","15010000","","","","","","19990127","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FRANCIS","BUMANN","CPA","U","V","992","C063","","","","A",""
"MA04865025","0000395680","533891","201509","","BARBIZON LIGHT OF NEW ENGLAND INC","","3","","DRAPER","ST","","","","WOBURN","MA","01801","4521","7819353920","P","","","","","BARBIZON.COM","","","","","3","","","","","","","","1948","067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510077977337","I","220870","","","","","","50630487","","","","","","4236100465","","","","","","25050902","","","","","","","20130716","","","","14460","5128000","","","","","","","","","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","ESTHERE","STROM","MANAGER","F","V","035","C032","D","","","E",""
"MA04499407","0000395703","","201509","","BREDY NETWORK MANAGEMENT CORPORATION","","426","","MAIN","ST","","","","WOBURN","MA","01801","4235","7819329032","P","","","","","BNMC.NET|LEMAY.ORG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","059710ATTR:SERVERS|HOSTING|IMPLEMENTATION","","2510192730689","A","059710","","","","","","57340505","","","","","","4431200904","","","","","","11070000","","","","","","","19990127","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ERYCK","BREDY","OWNER","F","T","268","C029","","","","E",""
"MA05267278","0000395736","533891","201509","","BURLINGTON MACHINE","","33","","6TH","RD","","","","WOBURN","MA","01801","1757","7819388086","P","","","","","BURLINGTONMACHINE.COM","","","","","3","","","","","","","","1987","028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016335479","I","207300","","","","","","52510319","","","","","","4441302100","","","","","","25450100","","","","","","","20130716","","","","14460","3809000","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","JOHN","HAROUTUNIAN","MANAGER","M","V","334","C064","D","","","D",""
"MA04073547","0000395770","533891","201509","","BRISK WATERPROOFING COMPANY","","21","","WHEELING","AVE","","","","WOBURN","MA","01801","2008","7819373661","P","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510179369511","I","251680","","","","","","17990304","","","","","","2381900301","","","","","","13057900","","","","","","","19960400","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","217","C030","","","","",""
"MA04065442","0000395771","701609","201508","","BORSELLI INC","","110","","WINN","ST","","STE","209","WOBURN","MA","01801","2800","7819355030","P","","","Y","","BORSELLIENGINEERING.COM","","","","","3","","","","","","","","","","","","","","","","","DESIGN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016341315","I","086840","189650","","","","","17940000","65190300","65310000","","","","2389100000","5311900400","5312100000","","","","13017900","24000000","","","","","","20130716","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FRANK","BORSELLI","OWNER","M","V","596","C051","","","","B",""
"MA04149751","0000395784","701609","201509","","BRYANT PROFESSIONAL PAINTERS","","15","","SURREY","RD","","","","WOBURN","MA","01801","4733","7819339398","P","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2510016340342","I","164970","","","","","","17210100","","","","","","2383200100","","","","","","13010500","","","","","","","19990127","","","","14460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","BRYANT","KEATLEY","PRESIDENT","M","V","157","C027","A","","","A",""
